City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Garden City,43.62,-116.24,61.0,67,1,8.05
Paamiut,61.99,-49.67,39.55,85,100,3.22
Novokayakent,42.39,47.99,55.0,87,40,8.95
Waipawa,-39.94,176.59,36.49,97,0,1.7
Russkaya Polyana,53.78,73.88,53.77,51,67,11.74
Kirakira,-10.46,161.92,76.81,87,86,6.33
Gamba,28.28,88.52,37.39,66,2,4.83
Iqaluit,63.75,-68.52,42.8,74,75,28.86
Thohoyandou,-22.97,30.46,70.33,33,0,4.38
Swellendam,-34.02,20.44,57.2,87,70,8.05
Astana,51.13,71.43,51.8,40,0,4.47
Maceio,-9.67,-35.74,82.4,65,75,13.87
Bhind,26.57,78.79,78.8,83,75,4.7
Romny,50.74,33.49,48.55,46,98,11.48
Touros,-5.2,-35.46,78.8,78,40,8.05
Mandalgovi,45.76,106.27,55.57,28,56,5.32
Eirunepe,-6.66,-69.87,84.91,76,66,3.36
Kamloops,50.68,-120.34,55.4,66,20,6.93
Aklavik,68.22,-135.01,42.8,93,90,3.36
Maniitsoq,65.42,-52.9,38.47,93,100,21.74
Paragould,36.06,-90.5,87.8,45,1,17.22
Pangnirtung,66.15,-65.72,41.0,86,75,4.7
Umm Lajj,25.02,37.27,84.01,74,0,13.22
Tuktoyaktuk,69.44,-133.03,41.0,86,75,17.22
Inagi,35.64,139.51,73.0,88,1,7.67
Mizque,-17.94,-65.34,71.77,46,62,12.37
Taltal,-25.41,-70.49,58.99,63,34,5.7
Djibo,14.1,-1.63,95.35,30,51,10.18
Pijijiapan,15.69,-93.21,83.47,70,33,5.82
Bozdar,27.18,68.64,89.6,79,0,5.03
Lakes Entrance,-37.88,147.99,48.0,89,18,10.89
Harper,30.3,-99.24,89.6,49,40,18.34
Polyarnyy,69.2,33.45,35.6,78,40,4.47
Marzuq,14.4,46.47,79.15,31,0,3.67
Coffs Harbour,-30.3,153.13,66.2,77,36,17.22
Madang,35.32,102.79,28.93,66,6,1.01
Nizwa,22.93,57.53,80.95,33,1,11.45
Darnah,32.77,22.64,75.01,71,65,6.04
Lingao,19.91,109.69,83.29,66,44,10.49
Meadow Lake,54.13,-108.44,57.2,71,20,9.17
Oranjemund,-28.55,16.43,56.11,87,39,16.37
Hamilton,43.26,-79.87,84.99,61,20,6.93
Kaeo,-35.1,173.78,45.0,100,0,4.52
Barcelona,41.38,2.18,73.99,83,40,11.41
Saint-Avold,49.1,6.71,73.4,40,0,16.11
Carbonia,39.17,8.53,79.0,83,40,20.8
Dhidhdhoo,6.88,73.1,82.21,80,73,13.38
Serro,-18.6,-43.38,85.63,35,24,7.27
Chuy,-33.69,-53.46,63.85,46,0,10.42
Pelotas,-31.77,-52.34,68.0,19,0,1.12
Concordia,-31.4,-58.02,70.0,35,0,6.93
Vanimo,-2.67,141.3,79.69,75,90,8.93
Nemuro,43.32,145.57,59.35,75,100,15.3
Zanjan,36.67,48.48,76.27,20,25,12.97
Tezu,27.93,96.16,70.51,94,100,4.85
Wanlaweyn,2.62,44.89,76.99,72,39,20.22
Vuktyl,63.86,57.31,34.51,97,100,4.72
Milkovo,41.53,24.68,68.0,48,18,6.93
Bonthe,7.53,-12.5,76.27,91,99,8.16
At-Bashi,41.17,75.81,52.15,34,0,6.93
Teya,21.05,-89.07,89.6,55,75,5.82
Kavieng,-2.57,150.8,83.83,72,9,9.73
Geraldton,49.72,-86.95,66.2,88,90,8.05
Mae Sot,16.71,98.57,70.87,95,83,2.1
Torbay,47.66,-52.73,48.99,93,90,27.51
Muros,42.77,-9.06,66.0,93,75,11.41
Sladkovo,55.53,70.34,48.37,82,100,11.14
Riyadh,24.63,46.72,93.2,18,0,2.24
Faya,18.39,42.45,75.2,13,0,11.41
College,64.86,-147.8,39.2,93,90,10.29
Coquimbo,-29.95,-71.34,60.8,63,0,16.11
Pullman,46.73,-117.17,62.01,62,1,5.82
Brae,60.4,-1.35,55.4,87,2,26.4
Virden,49.85,-100.93,56.29,81,100,18.25
Redding,40.59,-122.39,75.2,33,1,14.99
Ler,63.2,10.3,57.0,87,75,11.41
Gat,14.69,-16.54,89.6,66,40,4.7
Scottsbluff,41.87,-103.67,66.99,34,1,14.99
Zhigansk,66.77,123.37,35.77,94,100,26.62
Yerbogachen,61.28,108.01,41.17,87,27,8.3
Igrim,63.19,64.42,34.69,74,95,5.97
Qingdao,36.09,120.35,62.6,88,0,8.95
Cidreira,-30.17,-50.22,63.85,50,0,8.5
Comodoro Rivadavia,-45.87,-67.48,59.0,22,40,17.22
Manta,45.1,24.1,49.63,41,0,3.04
Melbu,68.5,14.83,41.0,83,76,7.0
Shellbrook,53.22,-106.39,55.4,71,90,9.17
Live Oak,36.97,-121.98,78.01,37,1,1.28
Ust-Nera,64.57,143.24,30.73,84,92,2.17
Klyuchi,52.25,79.17,53.59,48,89,8.48
Gualeguaychu,-33.01,-58.51,73.99,25,0,11.01
Sabha,27.03,14.43,88.15,18,0,11.21
Artsyz,46.0,29.43,52.87,45,44,3.58
Barcelos,-0.97,-62.93,98.95,33,41,4.27
Nieuwpoort,51.13,2.75,78.8,41,0,9.17
Kupang,-10.16,123.6,74.47,72,18,9.08
Rocha,-34.48,-54.34,64.39,48,0,16.04
Palafrugell,41.92,3.16,68.0,88,40,6.93
Lompoc,34.64,-120.46,82.4,46,1,3.36
Alice Springs,-23.7,133.88,50.0,31,75,4.7
Namibe,-15.19,12.15,69.8,73,40,17.22
Astoria,46.19,-123.83,64.99,88,90,4.7
Dikson,73.51,80.55,36.49,96,100,21.54
Lukovetskiy,64.29,41.92,33.8,94,40,3.58
Ormara,25.21,64.64,84.73,52,0,9.01
Mnogovershinnyy,53.94,139.92,45.13,79,98,7.49
Halifax,44.65,-63.58,71.01,42,20,21.92
Balsas,-7.53,-46.04,103.27,16,0,6.69
Liepaja,56.52,21.02,57.2,82,71,3.36
Mariental,-25.72,-49.65,57.99,93,90,10.29
Xai-Xai,-25.04,33.64,71.59,67,0,6.08
Nicoya,10.15,-85.45,84.2,70,40,4.7
Amboise,47.41,0.98,84.2,39,0,5.82
Port Hawkesbury,45.62,-61.36,64.99,63,20,16.11
Korhogo,9.46,-5.63,78.97,83,76,2.8
Solnechnyy,50.72,136.64,44.23,93,70,3.13
Haines Junction,60.75,-137.51,42.61,84,79,8.55
Micheweni,-4.97,39.83,77.35,78,30,13.15
Alofi,-19.06,-169.92,66.2,100,96,8.05
Ambon,47.55,-2.56,73.4,73,0,11.41
Bambanglipuro,-7.95,110.28,73.57,86,90,8.77
Balclutha,-46.24,169.74,46.0,78,12,1.99
Nueva Loja,0.08,-76.88,84.2,78,75,4.7
Taloda,21.56,74.21,80.23,81,96,4.47
San Quintin,17.54,120.52,67.81,92,99,3.89
Te Anau,-45.41,167.72,41.17,81,10,6.35
Acari,-6.44,-36.64,97.87,23,0,17.22
Jardim,-21.48,-56.15,93.01,28,0,8.5
Beringovskiy,63.05,179.32,28.57,72,14,5.01
Amahai,-3.31,129.0,75.01,90,27,7.07
Canmore,51.09,-115.35,55.0,71,40,3.36
Iguape,-24.7,-47.56,61.87,93,100,4.79
Manokwari,-0.87,134.08,72.67,55,17,5.68
George Town,5.42,100.33,84.2,88,75,3.36
Araouane,18.9,-3.53,102.91,14,53,8.61
Demidov,55.27,31.52,45.67,98,100,6.53
Srednekolymsk,67.46,153.71,23.89,85,0,3.44
Killam,52.79,-111.86,58.45,57,89,8.66
Orleans,-28.36,-49.29,53.41,89,99,2.75
Lom Sak,16.78,101.24,68.71,90,30,3.47
Sarkand,45.41,79.91,67.81,28,0,3.31
Acapulco,16.86,-99.88,84.2,74,75,5.82
Faanui,-16.48,-151.75,79.87,83,52,15.88
Gejiu,23.36,103.16,55.93,83,72,4.45
Henties Bay,-22.12,14.28,61.0,88,94,8.99
Nalut,31.86,10.98,90.13,19,8,3.24
Salamiyah,35.01,37.05,66.37,70,0,7.7
Port Hedland,-20.31,118.58,62.6,18,0,8.05
Boleslawiec,51.26,15.57,59.0,69,0,2.53
Ostrovnoy,68.05,39.51,37.57,91,99,14.9
Mahibadhoo,3.78,72.97,80.77,78,100,16.06
Banjar,-7.37,108.54,69.61,95,100,1.41
San Ramon,12.92,-85.84,75.2,78,75,1.32
Jinchang,38.52,102.19,54.13,39,100,3.31
Xifeng,42.73,124.72,50.71,80,0,2.75
Pitimbu,-7.47,-34.81,82.4,69,75,16.11
Tessalit,20.2,1.01,98.05,6,0,6.62
Narsaq,60.91,-46.05,41.0,86,75,2.24
Sao Felix do Xingu,-6.64,-51.99,104.17,20,31,5.01
The Pas,53.82,-101.24,55.4,87,90,9.17
Agirish,61.92,63.02,36.67,84,90,10.6
Fomboni,-12.28,43.74,78.25,68,0,1.77
Tila,15.4,-15.22,97.87,38,83,6.31
Devils Lake,48.11,-98.87,62.6,88,90,10.29
Cockburn Town,21.46,-71.14,89.6,52,75,9.17
Port Antonio,18.18,-76.45,86.0,62,40,16.11
La Ronge,55.1,-105.3,57.2,67,75,12.75
Huarmey,-10.07,-78.15,60.79,91,82,10.65
Laguna,16.17,-88.94,87.8,70,40,6.93
Clonakilty,51.62,-8.87,60.8,100,75,20.8
Bathsheba,13.22,-59.52,87.8,66,40,23.04
Lata,30.78,78.62,34.51,91,54,2.08
Abha,18.22,42.5,75.2,13,0,11.41
Altamont,49.4,-98.5,66.2,100,75,17.72
Porto Novo,-23.68,-45.44,69.8,73,75,6.93
Kaili,-3.46,120.21,57.37,90,0,3.78
Thinadhoo,0.53,72.93,78.61,85,100,11.3
Chulym,55.09,80.97,46.39,74,50,4.65
Sao Joao da Barra,-21.64,-41.05,84.2,58,20,20.8
Vilcun,-38.65,-72.23,51.8,81,75,5.82
Nanortalik,60.14,-45.24,41.17,91,100,3.47
Caxias,-4.87,-43.35,98.6,25,0,9.17
Dingle,11.0,122.67,73.75,84,100,3.38
Santa Rosa,-36.62,-64.29,68.89,20,0,14.47
Nouadhibou,20.93,-17.03,78.8,61,0,10.29
Hami,42.84,93.51,72.13,16,0,7.25
Viedma,-40.81,-62.99,55.39,29,0,20.54
Cap Malheureux,-19.98,57.61,69.01,88,75,18.34
Hobyo,5.35,48.53,76.45,80,58,26.17
Sangar,63.92,127.47,34.87,82,89,17.11
Santa Cruz,-6.22,-36.02,87.79,41,27,15.77
Leningradskiy,69.38,178.42,30.73,94,100,20.13
Dvinskoy,62.16,45.12,32.89,98,88,3.4
Swan River,52.11,-101.27,53.59,76,68,11.01
Hay River,60.82,-115.79,57.2,62,75,12.75
Kutum,14.2,24.66,86.71,25,36,4.56
Kibaya,-2.2,30.56,80.01,34,97,8.01
Clyde River,70.47,-68.59,33.8,95,90,27.51
Churapcha,62.0,132.43,28.57,98,30,5.73
Takoradi,4.89,-1.75,75.91,91,99,4.85
Caraguatay,-25.24,-56.83,80.6,22,0,5.82
Leh,34.16,77.58,38.47,39,72,3.74
Kajaani,64.22,27.73,42.8,70,0,6.93
Kurumkan,54.33,110.32,44.23,84,76,8.41
Lotofaga,-13.98,-171.86,71.01,94,58,3.0
Demba,-5.47,22.27,75.37,74,68,2.51
Portland,43.66,-70.25,84.0,47,20,3.36
Margherita,27.29,95.67,75.55,97,95,0.89
Sangmelima,2.93,11.98,70.33,96,99,3.04
Vila Velha,-3.71,-38.6,86.0,58,20,20.8
Nova Russas,-4.71,-40.57,96.61,17,1,8.3
Codrington,-28.95,153.24,66.2,93,21,4.7
Mount Gambier,-37.83,140.78,39.2,100,40,9.17
Serenje,-13.23,30.22,65.47,27,55,4.56
Santa Isabel,32.63,-115.58,86.0,16,1,5.82
Cuiluan,47.72,128.65,46.39,74,93,4.47
Povenets,62.85,34.83,35.95,80,72,4.32
Catole do Rocha,-6.34,-37.75,96.97,20,0,8.32
Nouakchott,18.08,-15.98,91.4,55,0,17.22
Portage,41.58,-87.18,81.0,83,75,8.05
Yeppoon,-23.13,150.74,64.4,88,16,5.82
Smithers,54.78,-127.17,59.0,67,75,8.05
Santiago de Chuco,-8.15,-78.17,57.19,67,100,6.87
Rancharia,-22.23,-50.89,80.6,61,40,8.05
La Rioja,-29.41,-66.86,61.33,15,31,8.12
Dingzhou,38.51,115.0,60.8,93,0,2.24
Salinopolis,-0.61,-47.36,81.31,78,76,19.8
Urgut,39.41,67.25,68.0,56,0,4.52
Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,100,40,6.71
Langenburg,50.84,-101.7,59.17,67,100,12.8
Mayo,63.59,-135.9,50.0,81,75,6.93
Dunedin,-45.87,170.5,45.0,90,4,1.01
Kloulklubed,7.04,134.26,78.8,88,90,3.36
Staraya Russa,57.99,31.36,43.15,98,100,3.31
Hat Yai,7.0,100.46,78.8,94,40,2.24
Borovichi,58.39,33.91,40.45,97,100,4.43
Inverell,-29.78,151.11,55.99,73,26,5.46
Namatanai,-3.66,152.44,77.89,81,58,9.22
Jiayuguan,39.77,98.29,61.69,25,54,9.73
Songea,-10.68,35.65,75.2,44,5,6.93
Vostok,46.45,135.83,42.79,99,91,4.09
Saquarema,-22.93,-42.51,78.8,78,75,11.41
Vanavara,60.35,102.28,41.71,82,32,8.41
Ballina,54.11,-9.15,61.0,93,90,14.99
Oriximina,-1.77,-55.87,98.59,35,41,10.09
Mastic Beach,40.77,-72.85,84.0,44,1,11.41
Hudson Bay,52.86,-102.4,53.95,77,68,7.47
Chapais,49.78,-74.86,64.4,48,1,9.17
Abu Kamal,34.45,40.92,79.87,18,0,10.56
Taksimo,56.36,114.84,39.73,94,58,0.51
Zhicheng,35.04,112.59,66.91,43,0,4.14
Porciuncula,-20.96,-42.04,88.87,36,0,7.65
Hongjiang,27.21,109.83,63.31,78,7,3.02
Opuwo,-18.06,13.84,72.67,37,17,9.53
Salym,60.06,71.48,35.77,82,59,5.28
Casino,-28.86,153.05,66.2,93,21,1.97
Kangaatsiaq,68.31,-53.46,41.53,87,76,10.6
Nizhniy Kuranakh,58.84,125.49,41.71,94,98,6.64
Bandundu,-3.32,17.38,79.33,69,77,1.97
Juneau,58.3,-134.42,55.4,100,90,6.93
Iiyama,36.89,138.38,57.55,89,100,1.99
Goderich,43.74,-81.71,84.0,64,1,10.0
Sechura,-5.56,-80.82,62.23,93,100,13.22
Mezen,65.85,44.24,33.97,87,82,2.44
Sandanski,41.57,23.28,51.25,46,3,2.53
Kenai,60.55,-151.26,48.0,100,90,4.7
Kaka,37.35,59.62,79.69,18,0,4.68
Nelson Bay,-32.72,152.14,66.0,88,86,4.7
Jieshi,22.82,115.83,69.43,55,4,7.83
The Valley,18.22,-63.06,89.6,70,20,13.87
Rodrigues Alves,-7.74,-72.65,80.6,83,75,5.82
Krasnoye,44.87,39.46,51.01,81,0,6.71
Pisco,-13.71,-76.2,71.6,30,75,8.05
Point Pleasant,40.08,-74.07,84.99,42,1,4.27
Fort Saint James,54.43,-124.25,57.91,58,100,9.04
Iralaya,15.0,-83.23,87.8,70,40,5.82
Shimoda,34.7,138.93,71.01,82,100,1.01
Iwaki,37.05,140.89,66.0,93,79,1.01
Ewa Beach,21.32,-158.01,80.6,100,40,11.41
Zlobin,45.29,14.65,66.2,42,0,1.12
San Luis Rio Colorado,32.47,-114.76,87.8,8,1,3.36
